shipment_id,order_date,warehouse_id,warehouse_city,store_id,store_city,distance_km,weight_kg,transport_mode,planned_cost_inr,actual_cost_inr,promised_delivery_hrs,actual_delivery_hrs,on_time_flag
SHP103980,2024-05-01,WH-BPL,BHOPAL,ST-034,Satna,293.4,371.5,LCV,10887.9,11408.13,14.3,15.3,0
SHP103905,27/07/2024,WH-JBP,Jabalpur,ST-038,Dewas,267.4,372.4,LCV,10896.52,11510.05,11.2,10.3,1
SHP101264,16-08-2024,WH-GWL,Gwalior,ST-037,Gwalior,296.7,60.9,LCV,10869.56,11518.53,13.1,16.6,0
SHP100685,22-08-2024,WH-GWL,Gwalior,ST-029,Bhopal,416.8,191.2,Medium Truck,26018.66,26791.92,17.3,23.0,0
SHP102697,2024-12-14,WH-IND,INDORE,ST-019,Jabalpur,204.7,1802.8,Medium Truck,12804.67,13731.06,11.6,14.2,0
SHP105824,23-12-2024,WH-BPL,Bhopal,ST-021,Ratlam,306.9,133.1,LCV,12333.13,12533.78,12.1,9.8,1
SHP108075,16-05-2024,WH-BPL,Bhopal,ST-033,Indore,376.9,255.7,LCV,15770.31,16555.74,17.2,19.4,0
SHP105047,2024-09-08,WH-GWL,Gwalior,ST-030,Sagar,221.9,268.5,Mini Truck,5484.95,5845.35,10.9,13.1,0
SHP101263,27/12/2024,WH-BPL,BHOPAL,ST-003,Jabalpur,443.3,135.4,Mini Truck,10213.49,10354.76,18.7,20.4,0
SHP108152,01-04-2024,WH-IND,Indore,ST-024,Vidisha,228.0,394.3,Medium Truck,14404.94,15231.05,10.8,10.8,1
SHP103485,2024-12-07,WH-IND,INDORE,ST-032,Mandsaur,573.1,538.8,Medium Truck,35844.85,36347.14,22.6,31.7,0
SHP105246,2024-12-30,WH-IND,Indore,ST-029,bhopal,413.5,246.2,LCV,15914.74,16763.13,17.9,19.2,0
SHP101677,01/04/2024,WH-JBP,Jabalpur,ST-001,Gwalior,669.1,20.0,Medium Truck,44768.65,48480.65,26.2,23.9,1
SHP106127,28-12-2024,WH-IND,Indore,ST-007,Indore,317.7,191.4,Mini Truck,7498.52,8172.24,11.9,9.6,1
SHP108227,21/07/2024,WH-GWL,Gwalior,ST-034,Satna,306.4,434.1,Medium Truck,17402.36,18737.9,13.0,16.2,0
SHP105027,08/06/2024,WH-JBP,Jabalpur,ST-001,Gwalior,635.4,909.3,Medium Truck,39119.67,40020.41,25.6,38.8,0
SHP106265,20-04-2024,WH-IND,Indore,ST-012,Chhindwara,254.9,522.3,LCV,9888.33,10390.46,12.4,11.1,1
SHP106024,2024-06-20,WH-GWL,Gwalior,ST-028,Ujjain,559.6,20.2,Medium Truck,36811.3,36966.75,21.1,31.9,0
SHP104255,11/09/2024,WH-GWL,Gwalior,ST-003,Jabalpur,554.8,267.6,Medium Truck,35236.92,36219.55,21.5,23.3,0
SHP102846,21/06/2024,WH-BPL,Bhopal,ST-004,Jabalpur,194.3,442.1,Mini Truck,4462.16,4606.99,10.7,13.5,0
SHP102078,15/12/2024,WH-BPL,Bhopal,ST-034,Satna,297.3,747.9,Medium Truck,19484.62,21458.85,14.2,13.1,1
SHP101670,21-11-2024,WH-JBP,Jabalpur,ST-022,Bhopal,732.7,470.3,LCV,29298.52,30637.05,26.2,28.0,0
SHP103841,2024-06-13,WH-BPL,Bhopal,ST-012,Chhindwara,380.9,767.8,LCV,16300.24,17087.1,15.8,13.1,1
SHP102358,05/08/2024,WH-IND,Indore,ST-013,Khandwa,360.7,559.5,Medium Truck,20511.91,22548.25,17.2,17.1,1
SHP101568,2024-09-09,WH-IND,Indore,ST-017,Khandwa,185.3,442.4,Medium Truck,10903.34,11841.76,7.9,11.0,0
SHP107307,12/07/2024,WH-GWL,Gwalior,ST-018,Satna,201.5,355.4,LCV,8147.42,8280.89,10.1,8.6,1
SHP100188,2025-01-18,WH-GWL,Gwalior,ST-015,Jabalpur,193.0,305.0,LCV,8574.86,8745.99,9.3,13.6,0
SHP104716,19/07/2024,WH-BPL,Bhopal,ST-034,Satna,297.1,717.3,Medium Truck,19130.64,20805.56,13.2,20.1,0
