shipment_id,order_date,warehouse_id,warehouse_city,store_id,store_city,distance_km,weight_kg,transport_mode,planned_cost_inr,actual_cost_inr,cost_per_km,promised_delivery_hrs,actual_delivery_hrs,on_time_flag
SHP103980,2024-05-01,WH-BPL,Bhopal,ST-034,Satna,293.4,371.5,LCV,10887.9,11408.13,38.88,14.3,15.3,0
SHP103905,2024-07-27,WH-JBP,Jabalpur,ST-038,Dewas,267.4,372.4,LCV,10896.52,11510.05,43.04,11.2,10.3,1
SHP101264,2024-08-16,WH-GWL,Gwalior,ST-037,Gwalior,296.7,60.9,LCV,10869.56,11518.53,38.82,13.1,16.6,0
SHP100685,2024-08-22,WH-GWL,Gwalior,ST-029,Bhopal,416.8,191.2,Medium Truck,26018.66,26791.92,64.28,17.3,23.0,0
SHP102697,2024-12-14,WH-IND,Indore,ST-019,Jabalpur,204.7,1802.8,Medium Truck,12804.67,13731.06,67.08,11.6,14.2,0
SHP105824,2024-12-23,WH-BPL,Bhopal,ST-021,Ratlam,306.9,133.1,LCV,12333.13,12533.78,40.84,12.1,9.8,1
SHP108075,2024-05-16,WH-BPL,Bhopal,ST-033,Indore,376.9,255.7,LCV,15770.31,16555.74,43.93,17.2,19.4,0
SHP105047,2024-09-08,WH-GWL,Gwalior,ST-030,Sagar,221.9,268.5,Mini Truck,5484.95,5845.35,26.34,10.9,13.1,0
SHP101263,2024-12-27,WH-BPL,Bhopal,ST-003,Jabalpur,443.3,135.4,Mini Truck,10213.49,10354.76,23.36,18.7,20.4,0
SHP108152,2024-04-01,WH-IND,Indore,ST-024,Vidisha,228.0,394.3,Medium Truck,14404.94,15231.05,66.8,10.8,10.8,1
SHP103485,2024-12-07,WH-IND,Indore,ST-032,Mandsaur,573.1,538.8,Medium Truck,35844.85,36347.14,63.42,22.6,31.7,0
SHP105246,2024-12-30,WH-IND,Indore,ST-029,Bhopal,413.5,246.2,LCV,15914.74,16763.13,40.54,17.9,19.2,0
SHP101677,2024-04-01,WH-JBP,Jabalpur,ST-001,Gwalior,669.1,20.0,Medium Truck,44768.65,48480.65,72.46,26.2,23.9,1
SHP106127,2024-12-28,WH-IND,Indore,ST-007,Indore,317.7,191.4,Mini Truck,7498.52,8172.24,25.72,11.9,9.6,1
SHP108227,2024-07-21,WH-GWL,Gwalior,ST-034,Satna,306.4,434.1,Medium Truck,17402.36,18737.9,61.16,13.0,16.2,0
SHP105027,2024-06-08,WH-JBP,Jabalpur,ST-001,Gwalior,635.4,909.3,Medium Truck,39119.67,40020.41,62.98,25.6,38.8,0
SHP106265,2024-04-20,WH-IND,Indore,ST-012,Chhindwara,254.9,522.3,LCV,9888.33,10390.46,40.76,12.4,11.1,1
SHP106024,2024-06-20,WH-GWL,Gwalior,ST-028,Ujjain,559.6,20.2,Medium Truck,36811.3,36966.75,66.06,21.1,31.9,0
SHP104255,2024-09-11,WH-GWL,Gwalior,ST-003,Jabalpur,554.8,267.6,Medium Truck,35236.92,36219.55,65.28,21.5,23.3,0
SHP102846,2024-06-21,WH-BPL,Bhopal,ST-004,Jabalpur,194.3,442.1,Mini Truck,4462.16,4606.99,23.71,10.7,13.5,0
SHP102078,2024-12-15,WH-BPL,Bhopal,ST-034,Satna,297.3,747.9,Medium Truck,19484.62,21458.85,72.18,14.2,13.1,1
SHP101670,2024-11-21,WH-JBP,Jabalpur,ST-022,Bhopal,732.7,470.3,LCV,29298.52,30637.05,41.81,26.2,28.0,0
SHP103841,2024-06-13,WH-BPL,Bhopal,ST-012,Chhindwara,380.9,767.8,LCV,16300.24,17087.1,44.86,15.8,13.1,1
SHP102358,2024-08-05,WH-IND,Indore,ST-013,Khandwa,360.7,559.5,Medium Truck,20511.91,22548.25,62.51,17.2,17.1,1
SHP101568,2024-09-09,WH-IND,Indore,ST-017,Khandwa,185.3,442.4,Medium Truck,10903.34,11841.76,63.91,7.9,11.0,0
SHP107307,2024-07-12,WH-GWL,Gwalior,ST-018,Satna,201.5,355.4,LCV,8147.42,8280.89,41.1,10.1,8.6,1
SHP100188,2025-01-18,WH-GWL,Gwalior,ST-015,Jabalpur,193.0,305.0,LCV,8574.86,8745.99,45.32,9.3,13.6,0
SHP104716,2024-07-19,WH-BPL,Bhopal,ST-034,Satna,297.1,717.3,Medium Truck,19130.64,20805.56,70.03,13.2,20.1,0
SHP104780,2025-01-06,WH-JBP,Jabalpur,ST-026,Satna,477.0,594.8,Medium Truck,26065.09,23662.739999999998,49.61,18.1,19.6,0
SHP101553,2024-09-02,WH-GWL,Gwalior,ST-004,Jabalpur,607.7,107.4,LCV,23366.85,25219.61,41.5,22.5,21.2,1
SHP101788,2024-11-27,WH-JBP,Jabalpur,ST-025,Mandsaur,669.0,746.5,LCV,26935.13,27993.97,41.84,22.9,32.5,0
SHP104219,2024-11-02,WH-BPL,Bhopal,ST-009,Vidisha,339.2,40.8,LCV,14403.36,14540.48,42.87,15.8,22.2,0
SHP105115,2024-05-03,WH-BPL,Bhopal,ST-001,Gwalior,397.0,659.5,LCV,13825.97,14405.81,36.29,16.3,14.5,1
SHP107201,2025-01-01,WH-BPL,Bhopal,ST-029,Bhopal,468.5,242.5,Medium Truck,27629.72,23662.739999999998,50.51,19.7,30.1,0
SHP101975,2024-12-22,WH-GWL,Gwalior,ST-030,Sagar,228.2,348.9,Medium Truck,13933.67,14077.0,61.69,11.7,14.8,0
SHP101142,2025-01-18,WH-JBP,Jabalpur,ST-008,Burhanpur,639.3,261.6,LCV,28190.35,28398.05,44.42,22.6,21.9,1
SHP104900,2024-09-06,WH-IND,Indore,ST-020,Ratlam,175.0,452.9,Mini Truck,4694.64,4732.52,27.04,9.7,13.2,0
SHP101821,2024-12-13,WH-BPL,Bhopal,ST-020,Ratlam,279.4,79.7,Medium Truck,15586.74,17153.24,61.39,12.4,10.7,1
SHP103839,2024-10-07,WH-BPL,Bhopal,ST-004,Jabalpur,210.9,241.0,Mini Truck,5146.88,5582.27,26.47,12.0,9.7,1
SHP103891,2024-12-15,WH-IND,Indore,ST-017,Khandwa,176.9,99.8,Mini Truck,3973.38,4039.08,22.83,7.7,10.8,0
SHP106047,2024-09-04,WH-GWL,Gwalior,ST-035,Rewa,431.5,245.7,Mini Truck,10491.62,11185.92,25.92,18.0,16.2,1
SHP106050,2024-08-05,WH-BPL,Bhopal,ST-011,Bhopal,242.7,386.3,Mini Truck,5723.81,5770.06,23.77,10.7,11.8,0
SHP107124,2024-07-11,WH-JBP,Jabalpur,ST-031,Jabalpur,284.9,165.0,Mini Truck,7604.01,7726.34,27.12,13.7,17.7,0
SHP100812,2024-04-12,WH-BPL,Bhopal,ST-009,Vidisha,327.8,296.6,Medium Truck,21599.48,23759.28,72.48,14.6,20.2,0
SHP100250,2024-11-01,WH-BPL,Bhopal,ST-007,Indore,383.9,669.3,Medium Truck,25127.59,25201.96,65.65,15.3,23.0,0
SHP101097,2024-08-13,WH-GWL,Gwalior,ST-004,Jabalpur,671.0,521.0,Medium Truck,45002.41,45136.48,67.27,25.4,35.9,0
SHP100442,2024-09-03,WH-JBP,Jabalpur,ST-025,Mandsaur,694.2,215.8,Mini Truck,15172.34,15992.0,23.04,25.9,38.5,0
SHP105527,2024-05-18,WH-IND,Indore,ST-037,Gwalior,400.0,475.9,Mini Truck,9524.57,10073.67,25.18,18.5,21.3,0
SHP105744,2024-06-11,WH-GWL,Gwalior,ST-024,Vidisha,668.4,910.9,LCV,23460.83,25096.42,37.55,25.1,28.0,0
SHP103212,2024-11-20,WH-JBP,Jabalpur,ST-006,Burhanpur,332.2,477.7,Medium Truck,23589.74,23899.24,71.94,14.2,11.7,1
SHP106906,2024-08-08,WH-BPL,Bhopal,ST-019,Jabalpur,322.8,186.0,Medium Truck,20229.77,21959.78,68.03,14.0,12.1,1
SHP104061,2024-04-30,WH-GWL,Gwalior,ST-003,Jabalpur,544.1,159.6,LCV,20611.61,21422.58,39.37,22.7,26.7,0
SHP106553,2024-09-27,WH-BPL,Bhopal,ST-034,Satna,296.6,58.7,Medium Truck,15964.61,17502.39,59.01,13.7,14.1,1
SHP102083,2024-09-23,WH-JBP,Jabalpur,ST-026,Satna,505.3,330.6,LCV,18440.36,19067.29,37.73,19.4,27.7,0
SHP101558,2024-06-23,WH-GWL,Gwalior,ST-019,Jabalpur,462.5,255.1,Mini Truck,12440.69,13437.36,29.05,20.1,21.3,0
SHP107833,2024-08-04,WH-BPL,Bhopal,ST-036,Satna,468.0,426.7,Medium Truck,27252.36,28652.31,61.22,18.3,21.6,0
SHP100404,2024-08-30,WH-IND,Indore,ST-018,Satna,404.9,665.6,LCV,14940.82,16293.27,40.24,15.3,16.4,0
SHP104501,2024-09-11,WH-BPL,Bhopal,ST-040,Gwalior,497.7,226.6,LCV,20133.76,21021.86,42.24,19.1,22.6,0
SHP102828,2024-04-29,WH-GWL,Gwalior,ST-007,Indore,446.1,657.8,LCV,18066.38,18462.07,41.39,19.2,16.9,1
SHP102490,2024-12-07,WH-JBP,Jabalpur,ST-030,Sagar,539.9,360.6,Medium Truck,31826.2,34168.85,63.29,20.6,31.2,0
